id_cliente,fecha_compra,factura_id,cantidad,monto,segmento_cliente,pais,canal_compra
20,2024-11-05,70,5,34222.54,Premium,Estados Unidos,Online
21,2023-01-28,71,6,3627.82,Medio,Francia,Online
21,2023-05-15,72,8,7186.5,Medio,Francia,Tienda física
21,2023-07-20,73,6,3375.08,Medio,Francia,Online
22,2023-02-02,74,9,3097.13,Ocasional,Italia,Tienda física
22,2023-02-17,75,2,690.03,Ocasional,Italia,Online
23,2023-04-09,76,5,2954.88,Medio,Estados Unidos,Online
23,2024-04-06,77,7,4879.08,Medio,Estados Unidos,Tienda física
23,2024-06-30,78,4,2298.0,Medio,Estados Unidos,Online
23,2024-09-04,79,2,1529.25,Medio,Estados Unidos,Tienda física
23,2024-10-04,80,1,654.65,Medio,Estados Unidos,Tienda física
23,2024-11-14,81,1,586.05,Medio,Estados Unidos,Online
23,2024-12-26,82,3,2299.61,Medio,Estados Unidos,Online
23,2024-12-28,83,7,5412.38,Medio,Estados Unidos,Tienda física
24,2024-02-02,84,9,3505.64,Ocasional,Alemania,Online
24,2024-05-17,85,3,780.14,Ocasional,Alemania,Online
25,2023-07-26,86,2,603.24,Ocasional,Italia,Tienda física
26,2024-04-05,87,5,0.0,Ocasional,Estados Unidos,Tienda física
26,2024-11-21,88,4,1559.4,Ocasional,Estados Unidos,Online
27,2023-01-28,89,8,8001.08,Frecuente,Estados Unidos,Tienda física
27,2023-02-05,90,4,9808.11,Frecuente,Estados Unidos,Online
27,2023-03-27,91,2,3105.36,Frecuente,Estados Unidos,Tienda física
27,2023-04-06,92,6,7276.4,Frecuente,Estados Unidos,Online
27,2023-06-09,93,9,22599.6,Frecuente,Estados Unidos,Online
27,2023-06-20,94,8,12343.81,Frecuente,Estados Unidos,Tienda física
27,2023-07-09,95,4,5904.95,Frecuente,Estados Unidos,Tienda física
27,2023-08-13,96,2,2267.61,Frecuente,Estados Unidos,Tienda física
27,2023-08-13,97,1,2017.22,Frecuente,Estados Unidos,Tienda física
27,2023-08-19,98,1,0.0,Frecuente,Estados Unidos,Online
27,2023-08-19,99,8,10627.78,Frecuente,Estados Unidos,Online
27,2023-08-22,100,4,6015.45,Frecuente,Estados Unidos,Tienda física
27,2023-08-29,101,3,6923.26,Frecuente,Estados Unidos,Online
27,2023-08-31,102,2,5657.82,Frecuente,Estados Unidos,Tienda física
27,2023-09-16,103,6,10112.81,Frecuente,Estados Unidos,Online
27,2023-10-10,104,8,11527.59,Frecuente,Estados Unidos,Online
27,2023-11-14,105,7,15185.7,Frecuente,Estados Unidos,Tienda física
27,2023-11-27,106,9,17470.42,Frecuente,Estados Unidos,Tienda física
27,2023-12-06,107,7,17831.58,Frecuente,Estados Unidos,Tienda física
27,2023-12-14,108,5,11073.68,Frecuente,Estados Unidos,Online
27,2023-12-25,109,2,2527.62,Frecuente,Estados Unidos,Online
27,2024-01-12,110,3,3082.65,Frecuente,Estados Unidos,Online
27,2024-01-20,111,2,2265.13,Frecuente,Estados Unidos,Online
27,2024-02-11,112,2,3341.66,Frecuente,Estados Unidos,Tienda física
27,2024-02-15,113,2,4705.27,Frecuente,Estados Unidos,Online
27,2024-03-31,114,5,8421.44,Frecuente,Estados Unidos,Online
27,2024-04-17,115,7,14521.25,Frecuente,Estados Unidos,Tienda física
27,2024-04-29,116,1,2693.28,Frecuente,Estados Unidos,Tienda física
27,2024-05-20,117,3,4249.59,Frecuente,Estados Unidos,Online
27,2024-06-08,118,6,7188.67,Frecuente,Estados Unidos,Tienda física
27,2024-06-24,119,8,14541.29,Frecuente,Estados Unidos,Online
27,2024-07-09,120,3,3046.05,Frecuente,Estados Unidos,Tienda física
27,2024-07-10,121,9,13850.88,Frecuente,Estados Unidos,Tienda física
27,2024-07-17,122,5,14578.53,Frecuente,Estados Unidos,Online
27,2024-07-27,123,3,5423.73,Frecuente,Estados Unidos,Online
27,2024-07-31,124,3,6453.6,Frecuente,Estados Unidos,Online
27,2024-09-11,125,5,13886.56,Frecuente,Estados Unidos,Online
27,2024-09-19,126,7,0.0,Frecuente,Estados Unidos,Online
27,2024-09-24,127,1,2359.32,Frecuente,Estados Unidos,Online
27,2024-10-01,128,6,12286.56,Frecuente,Estados Unidos,Online
27,2024-10-07,129,9,,Frecuente,Estados Unidos,Tienda física
27,2024-10-10,130,3,7448.76,Frecuente,Estados Unidos,Tienda física
27,2024-10-16,131,3,8133.82,Frecuente,Estados Unidos,Online
27,2024-11-07,132,7,10864.97,Frecuente,Estados Unidos,Tienda física
27,2024-11-12,133,8,9874.46,Frecuente,Estados Unidos,Tienda física
27,2024-11-14,134,6,16834.95,Frecuente,Estados Unidos,Tienda física
27,2024-11-29,135,7,8546.62,Frecuente,Estados Unidos,Online
27,2024-12-10,136,9,19358.47,Frecuente,Estados Unidos,Online
28,2023-08-21,137,8,5051.31,Medio,Alemania,Online
28,2024-01-09,138,8,6452.43,Medio,Alemania,Online
28,2024-04-16,139,8,5749.62,Medio,Alemania,Tienda física
28,2024-08-30,140,3,2658.55,Medio,Alemania,Tienda física
28,2024-11-02,141,3,0.0,Medio,Alemania,Tienda física
29,2023-04-23,142,8,6438.85,Medio,España,Online
29,2023-09-25,143,8,6773.5,Medio,España,Online
29,2024-01-21,144,9,5916.38,Medio,España,Online
29,2024-01-22,145,7,5320.83,Medio,España,Online
29,2024-03-17,146,1,717.5,Medio,España,Tienda física
29,2024-05-11,147,8,0.0,Medio,España,Tienda física
29,2024-05-24,148,2,1483.65,Medio,España,Tienda física
29,2024-07-17,149,8,,Medio,España,Online
30,2023-01-02,150,7,5405.73,Medio,Estados Unidos,Tienda física
30,2023-04-23,151,4,2762.01,Medio,Estados Unidos,Online
30,2024-11-29,152,2,1329.3,Medio,Estados Unidos,Tienda física
31,2023-08-13,153,6,2251.98,Ocasional,Estados Unidos,Tienda física
31,2024-01-20,154,7,2507.41,Ocasional,Estados Unidos,Tienda física
32,2023-02-22,155,1,508.96,Medio,Estados Unidos,Tienda física
32,2024-11-02,156,4,3334.12,Medio,Estados Unidos,Online
32,2024-11-14,157,8,4397.99,Medio,Estados Unidos,Online
32,2024-12-30,158,7,5887.78,Medio,Estados Unidos,Tienda física
33,2024-03-14,159,1,277.76,Ocasional,Reino Unido,Tienda física
34,2024-02-05,160,8,2534.84,Ocasional,Reino Unido,Online
35,2023-07-17,161,8,3058.49,Ocasional,Alemania,Online
35,2024-09-01,162,7,2668.18,Ocasional,Alemania,Tienda física
36,2023-05-04,163,5,,Medio,Francia,Tienda física
36,2023-05-24,164,1,813.24,Medio,Francia,Online
36,2023-07-06,165,3,2572.73,Medio,Francia,Tienda física
36,2023-07-20,166,9,7129.02,Medio,Francia,Tienda física
36,2023-11-22,167,9,5036.94,Medio,Francia,Online
36,2023-12-15,168,4,2976.39,Medio,Francia,Tienda física
36,2024-04-08,169,9,0.0,Medio,Francia,Tienda física
36,2024-08-31,170,5,2919.18,Medio,Francia,Online
36,2024-10-21,171,4,3243.04,Medio,Francia,Tienda física
37,2023-05-27,172,6,3919.57,Medio,Italia,Online
37,2023-05-28,173,3,1884.34,Medio,Italia,Tienda física
37,2023-12-12,174,7,3666.79,Medio,Italia,Online
37,2024-02-07,175,8,5765.05,Medio,Italia,Online
37,2024-05-25,176,5,3911.69,Medio,Italia,Tienda física
37,2024-12-11,177,6,0.0,Medio,Italia,Tienda física
38,2023-12-04,178,3,2131.59,Medio,Reino Unido,Tienda física
38,2024-07-04,179,9,7058.59,Medio,Reino Unido,Tienda física
38,2024-10-01,180,8,5889.28,Medio,Reino Unido,Tienda física
39,2024-04-17,181,8,2831.96,Ocasional,Alemania,Online
40,2023-01-02,182,1,682.87,Medio,Reino Unido,Tienda física
40,2023-05-24,183,4,0.0,Medio,Reino Unido,Tienda física
40,2023-09-20,184,5,4495.49,Medio,Reino Unido,Tienda física
40,2023-10-25,185,3,2402.49,Medio,Reino Unido,Tienda física
40,2023-10-31,186,4,3550.67,Medio,Reino Unido,Online
40,2023-12-12,187,5,3912.38,Medio,Reino Unido,Tienda física
40,2024-07-25,188,3,1951.24,Medio,Reino Unido,Tienda física
40,2024-09-02,189,2,1525.72,Medio,Reino Unido,Online
40,2024-09-15,190,6,4914.67,Medio,Reino Unido,Tienda física
41,2023-02-06,191,6,1238.75,Ocasional,Italia,Online
42,2023-01-09,192,2,534.12,Ocasional,Francia,Tienda física
43,2023-02-23,193,2,1206.16,Medio,Reino Unido,Online
43,2023-05-11,194,1,500.59,Medio,Reino Unido,Online
43,2023-06-01,195,3,1843.49,Medio,Reino Unido,Tienda física
43,2023-07-27,196,2,1388.97,Medio,Reino Unido,Online
43,2024-02-08,197,9,7736.86,Medio,Reino Unido,Tienda física
44,2024-08-09,198,6,1533.58,Ocasional,España,Online
44,2024-09-19,199,4,1456.26,Ocasional,España,Tienda física
45,2023-04-14,200,9,0.0,Ocasional,Francia,Online
45,2024-02-26,201,1,331.52,Ocasional,Francia,Online
46,2023-04-22,202,9,3226.46,Ocasional,Francia,Tienda física
47,2023-01-17,203,2,3336.46,Frecuente,Reino Unido,Tienda física
47,2023-01-22,204,2,2931.81,Frecuente,Reino Unido,Tienda física
47,2023-01-27,205,2,4711.72,Frecuente,Reino Unido,Tienda física
47,2023-02-02,206,7,16862.47,Frecuente,Reino Unido,Online
47,2023-02-07,207,8,10324.76,Frecuente,Reino Unido,Online
47,2023-02-18,208,2,2491.45,Frecuente,Reino Unido,Tienda física
47,2023-05-15,209,3,6896.2,Frecuente,Reino Unido,Tienda física
47,2023-06-02,210,8,,Frecuente,Reino Unido,Tienda física
47,2023-06-10,211,4,7158.26,Frecuente,Reino Unido,Online
47,2023-06-12,212,2,3227.08,Frecuente,Reino Unido,Online
47,2023-06-21,213,9,16451.83,Frecuente,Reino Unido,Tienda física
47,2023-07-11,214,1,1526.07,Frecuente,Reino Unido,Tienda física
47,2023-07-14,215,1,2346.87,Frecuente,Reino Unido,Tienda física
47,2023-08-14,216,5,12282.7,Frecuente,Reino Unido,Tienda física
47,2023-08-18,217,5,6951.52,Frecuente,Reino Unido,Tienda física
47,2023-10-04,218,1,1971.51,Frecuente,Reino Unido,Online
47,2023-10-04,219,3,5170.15,Frecuente,Reino Unido,Tienda física
47,2023-10-10,220,2,2606.69,Frecuente,Reino Unido,Online
47,2023-10-11,221,9,13318.32,Frecuente,Reino Unido,Tienda física
47,2023-12-04,222,6,7063.65,Frecuente,Reino Unido,Tienda física
47,2023-12-31,223,5,12754.17,Frecuente,Reino Unido,Tienda física
47,2024-01-10,224,9,23626.13,Frecuente,Reino Unido,Online
47,2024-01-27,225,7,9732.91,Frecuente,Reino Unido,Online
47,2024-02-02,226,6,9585.46,Frecuente,Reino Unido,Online
47,2024-02-05,227,2,5316.93,Frecuente,Reino Unido,Online
47,2024-03-13,228,5,0.0,Frecuente,Reino Unido,Online
47,2024-03-28,229,2,4919.86,Frecuente,Reino Unido,Online
47,2024-04-04,230,8,8906.81,Frecuente,Reino Unido,Tienda física
47,2024-04-14,231,8,9756.47,Frecuente,Reino Unido,Tienda física
47,2024-04-25,232,2,4767.62,Frecuente,Reino Unido,Online
47,2024-05-18,233,2,3338.98,Frecuente,Reino Unido,Online
47,2024-05-26,234,5,6696.94,Frecuente,Reino Unido,Tienda física
47,2024-05-30,235,2,2929.29,Frecuente,Reino Unido,Online
47,2024-06-30,236,7,8311.95,Frecuente,Reino Unido,Tienda física
47,2024-07-16,237,4,6094.88,Frecuente,Reino Unido,Tienda física
47,2024-08-02,238,3,6342.16,Frecuente,Reino Unido,Online
47,2024-08-31,239,1,2569.49,Frecuente,Reino Unido,Tienda física
47,2024-10-01,240,9,24745.53,Frecuente,Reino Unido,Online
47,2024-10-20,241,4,11749.26,Frecuente,Reino Unido,Online
47,2024-10-31,242,8,13689.04,Frecuente,Reino Unido,Online
47,2024-11-11,243,7,14006.02,Frecuente,Reino Unido,Online
47,2024-11-18,244,7,16624.97,Frecuente,Reino Unido,Tienda física
47,2024-12-06,245,4,4638.78,Frecuente,Reino Unido,Online
47,2024-12-20,246,8,8575.17,Frecuente,Reino Unido,Tienda física
48,2023-02-15,247,4,1522.98,Ocasional,Italia,Online
49,2023-02-06,248,9,2152.11,Ocasional,Reino Unido,Tienda física
50,2023-10-29,249,1,394.35,Ocasional,Estados Unidos,Tienda física
51,2024-11-30,250,1,362.03,Ocasional,Estados Unidos,Tienda física
52,2023-09-10,251,1,376.29,Ocasional,Francia,Online
53,2023-01-18,252,1,704.18,Medio,Estados Unidos,Online
53,2023-05-08,253,7,4725.89,Medio,Estados Unidos,Online
53,2023-06-10,254,4,3487.11,Medio,Estados Unidos,Tienda física
53,2023-09-13,255,9,7211.67,Medio,Estados Unidos,Tienda física
53,2023-11-19,256,8,6524.1,Medio,Estados Unidos,Online
53,2023-11-19,257,9,4651.01,Medio,Estados Unidos,Online
53,2024-07-19,258,3,2618.98,Medio,Estados Unidos,Tienda física
53,2024-07-23,259,9,5861.72,Medio,Estados Unidos,Tienda física
53,2024-11-16,260,5,4025.51,Medio,Estados Unidos,Tienda física
54,2023-01-20,261,8,13695.0,Frecuente,Estados Unidos,Tienda física
54,2023-02-05,262,2,5421.21,Frecuente,Estados Unidos,Online
54,2023-02-08,263,7,7351.36,Frecuente,Estados Unidos,Tienda física
54,2023-02-20,264,4,11294.12,Frecuente,Estados Unidos,Online
54,2023-04-02,265,8,20478.6,Frecuente,Estados Unidos,Tienda física
54,2023-04-14,266,1,2806.54,Frecuente,Estados Unidos,Online
54,2023-05-05,267,9,18839.47,Frecuente,Estados Unidos,Tienda física
54,2023-05-23,268,5,13409.23,Frecuente,Estados Unidos,Tienda física
54,2023-05-30,269,2,3423.71,Frecuente,Estados Unidos,Online
54,2023-06-04,270,4,4604.41,Frecuente,Estados Unidos,Online
54,2023-06-25,271,5,5885.54,Frecuente,Estados Unidos,Online
54,2023-07-09,272,7,12987.08,Frecuente,Estados Unidos,Online
54,2023-09-03,273,5,13430.69,Frecuente,Estados Unidos,Tienda física
54,2023-11-01,274,4,0.0,Frecuente,Estados Unidos,Tienda física
54,2023-11-10,275,4,10341.9,Frecuente,Estados Unidos,Tienda física
54,2023-11-17,276,6,13576.49,Frecuente,Estados Unidos,Tienda física
54,2023-12-08,277,8,19036.09,Frecuente,Estados Unidos,Tienda física
54,2023-12-20,278,3,8414.59,Frecuente,Estados Unidos,Tienda física
54,2024-01-21,279,5,7477.06,Frecuente,Estados Unidos,Tienda física
54,2024-01-28,280,1,1219.82,Frecuente,Estados Unidos,Online
54,2024-02-04,281,4,0.0,Frecuente,Estados Unidos,Tienda física
54,2024-02-12,282,5,6317.25,Frecuente,Estados Unidos,Online
54,2024-04-15,283,9,10131.36,Frecuente,Estados Unidos,Online
54,2024-04-21,284,2,2940.24,Frecuente,Estados Unidos,Tienda física
54,2024-05-04,285,1,2242.46,Frecuente,Estados Unidos,Online
54,2024-05-20,286,5,7042.64,Frecuente,Estados Unidos,Tienda física
54,2024-05-26,287,3,8478.53,Frecuente,Estados Unidos,Online
54,2024-06-08,288,4,7498.64,Frecuente,Estados Unidos,Online
54,2024-06-21,289,2,4506.12,Frecuente,Estados Unidos,Tienda física
54,2024-07-23,290,3,6801.83,Frecuente,Estados Unidos,Online
54,2024-07-28,291,3,5545.07,Frecuente,Estados Unidos,Tienda física
54,2024-09-30,292,6,15778.51,Frecuente,Estados Unidos,Tienda física
54,2024-10-15,293,1,2790.38,Frecuente,Estados Unidos,Tienda física
54,2024-10-24,294,6,0.0,Frecuente,Estados Unidos,Tienda física
54,2024-10-26,295,8,14442.26,Frecuente,Estados Unidos,Online
54,2024-11-12,296,6,9996.53,Frecuente,Estados Unidos,Online
54,2024-11-12,297,1,2320.35,Frecuente,Estados Unidos,Tienda física
54,2024-11-15,298,8,0.0,Frecuente,Estados Unidos,Tienda física
54,2024-11-22,299,9,26452.36,Frecuente,Estados Unidos,Tienda física
54,2024-11-28,300,9,20413.79,Frecuente,Estados Unidos,Tienda física
54,2024-12-27,301,4,6492.61,Frecuente,Estados Unidos,Online
55,2024-03-19,302,1,239.44,Ocasional,Estados Unidos,Online
55,2024-09-04,303,4,1400.39,Ocasional,Estados Unidos,Tienda física
56,2024-07-25,304,3,704.23,Ocasional,Italia,Online
57,2023-02-16,305,8,4604.69,Medio,España,Tienda física
57,2023-04-13,306,3,1576.06,Medio,España,Tienda física
57,2023-07-15,307,2,1422.04,Medio,España,Tienda física
57,2023-09-26,308,8,7026.46,Medio,España,Tienda física
57,2023-12-16,309,2,1442.82,Medio,España,Online
57,2024-01-05,310,3,1842.0,Medio,España,Online
57,2024-10-17,311,1,639.35,Medio,España,Online
58,2024-10-18,312,9,3586.61,Ocasional,Estados Unidos,Tienda física
58,2024-10-20,313,2,462.23,Ocasional,Estados Unidos,Tienda física
59,2023-02-27,314,5,3860.51,Medio,Italia,Tienda física
59,2023-04-27,315,7,4581.59,Medio,Italia,Tienda física
59,2023-12-12,316,6,3555.74,Medio,Italia,Tienda física
59,2024-04-18,317,4,2880.19,Medio,Italia,Online
59,2024-08-26,318,5,,Medio,Italia,Online
60,2023-02-27,319,9,16790.51,Frecuente,Estados Unidos,Tienda física
60,2023-03-17,320,9,21859.35,Frecuente,Estados Unidos,Tienda física
60,2023-04-06,321,9,26806.22,Frecuente,Estados Unidos,Tienda física
60,2023-04-28,322,5,13343.21,Frecuente,Estados Unidos,Tienda física
60,2023-07-08,323,6,12873.2,Frecuente,Estados Unidos,Online
60,2023-08-25,324,4,7208.93,Frecuente,Estados Unidos,Online
60,2023-09-04,325,3,8838.61,Frecuente,Estados Unidos,Online
60,2023-09-29,326,5,6588.58,Frecuente,Estados Unidos,Tienda física
60,2024-03-22,327,6,8272.27,Frecuente,Estados Unidos,Online
60,2024-05-02,328,4,0.0,Frecuente,Estados Unidos,Online
60,2024-05-27,329,1,2889.53,Frecuente,Estados Unidos,Tienda física
60,2024-07-13,330,7,12349.63,Frecuente,Estados Unidos,Tienda física
60,2024-08-03,331,7,14584.23,Frecuente,Estados Unidos,Tienda física
60,2024-08-23,332,1,,Frecuente,Estados Unidos,Tienda física
60,2024-09-25,333,6,13010.09,Frecuente,Estados Unidos,Tienda física
60,2024-09-29,334,9,10829.85,Frecuente,Estados Unidos,Tienda física
60,2024-10-02,335,7,20462.11,Frecuente,Estados Unidos,Tienda física
60,2024-12-04,336,4,8373.73,Frecuente,Estados Unidos,Tienda física
61,2023-03-27,337,8,0.0,Ocasional,España,Online
62,2023-02-16,338,1,7664.34,Premium,Reino Unido,Online
62,2023-04-04,339,2,12602.51,Premium,Reino Unido,Tienda física
62,2023-07-23,340,9,55710.35,Premium,Reino Unido,Online
62,2023-08-06,341,9,0.0,Premium,Reino Unido,Online
62,2023-12-07,342,7,38102.92,Premium,Reino Unido,Tienda física
62,2024-03-07,343,1,7868.7,Premium,Reino Unido,Online
62,2024-03-28,344,2,9080.38,Premium,Reino Unido,Tienda física
62,2024-04-18,345,9,0.0,Premium,Reino Unido,Online
62,2024-07-04,346,3,17219.01,Premium,Reino Unido,Tienda física
63,2023-01-23,347,8,4912.96,Medio,Francia,Tienda física
63,2023-04-10,348,1,747.09,Medio,Francia,Online
63,2023-06-29,349,9,4730.59,Medio,Francia,Online
63,2023-08-11,350,1,835.52,Medio,Francia,Online
63,2023-12-23,351,9,6017.39,Medio,Francia,Online
63,2024-03-17,352,6,5349.96,Medio,Francia,Online
63,2024-06-05,353,3,2453.02,Medio,Francia,Tienda física
63,2024-10-20,354,3,1724.51,Medio,Francia,Tienda física
64,2023-11-21,355,6,1652.0,Ocasional,Alemania,Online
64,2024-05-30,356,4,1293.16,Ocasional,Alemania,Online
65,2023-09-15,357,2,431.13,Ocasional,Reino Unido,Online
65,2024-05-11,358,6,1613.6,Ocasional,Reino Unido,Online
66,2024-04-19,359,5,1802.35,Ocasional,España,Online
66,2024-10-25,360,6,1772.65,Ocasional,España,Online
67,2024-01-15,361,7,2666.44,Ocasional,España,Tienda física
68,2023-06-17,362,5,2943.07,Medio,Francia,Tienda física
68,2023-09-25,363,5,3407.79,Medio,Francia,Tienda física
68,2024-02-21,364,9,0.0,Medio,Francia,Online
68,2024-03-02,365,7,6100.0,Medio,Francia,Online
68,2024-07-30,366,6,4356.38,Medio,Francia,Tienda física
68,2024-09-04,367,4,3572.18,Medio,Francia,Online
68,2024-11-21,368,9,6570.5,Medio,Francia,Online
69,2023-10-12,369,5,1861.63,Ocasional,Estados Unidos,Tienda física
69,2024-02-01,370,7,2228.69,Ocasional,Estados Unidos,Online
70,2023-02-04,371,2,0.0,Medio,Alemania,Online
70,2023-03-31,372,3,2466.28,Medio,Alemania,Online
70,2023-09-10,373,2,1580.4,Medio,Alemania,Online
70,2024-02-22,374,5,4405.52,Medio,Alemania,Online
70,2024-05-13,375,3,1595.82,Medio,Alemania,Tienda física
70,2024-08-24,376,5,3049.23,Medio,Alemania,Tienda física
70,2024-08-27,377,6,4221.97,Medio,Alemania,Online
70,2024-12-27,378,2,1248.63,Medio,Alemania,Online
71,2023-03-16,379,7,5212.45,Medio,Alemania,Online
71,2023-07-15,380,2,0.0,Medio,Alemania,Tienda física
71,2024-01-11,381,7,3607.29,Medio,Alemania,Tienda física
71,2024-02-17,382,5,0.0,Medio,Alemania,Tienda física
71,2024-02-24,383,9,,Medio,Alemania,Tienda física
71,2024-05-07,384,3,2279.06,Medio,Alemania,Tienda física
71,2024-05-15,385,2,1788.55,Medio,Alemania,Online
71,2024-09-17,386,1,645.79,Medio,Alemania,Tienda física
71,2024-12-29,387,6,5182.41,Medio,Alemania,Online
72,2024-11-06,388,2,0.0,Ocasional,Alemania,Tienda física
73,2023-04-09,389,9,8090.73,Medio,Reino Unido,Online
73,2023-07-11,390,1,884.26,Medio,Reino Unido,Online
73,2024-11-19,391,1,585.4,Medio,Reino Unido,Online
74,2023-04-06,392,6,4674.19,Medio,España,Tienda física
74,2023-07-09,393,2,1725.61,Medio,España,Online
74,2024-10-24,394,4,2634.98,Medio,España,Online
74,2024-10-25,395,6,4863.34,Medio,España,Tienda física
75,2024-01-04,396,3,927.28,Ocasional,Alemania,Online
75,2024-11-25,397,3,1008.56,Ocasional,Alemania,Tienda física
76,2023-09-30,398,8,1751.69,Ocasional,Italia,Online
77,2023-12-08,399,7,2630.71,Ocasional,Alemania,Online
77,2024-12-29,400,6,1958.02,Ocasional,Alemania,Tienda física
78,2023-06-26,401,9,5141.82,Medio,Estados Unidos,Online
78,2023-08-21,402,5,4465.83,Medio,Estados Unidos,Tienda física
78,2024-01-31,403,2,1020.32,Medio,Estados Unidos,Online
78,2024-03-20,404,9,7834.33,Medio,Estados Unidos,Online
78,2024-09-03,405,1,795.09,Medio,Estados Unidos,Tienda física
79,2024-03-30,406,4,1083.34,Ocasional,Reino Unido,Tienda física
80,2024-01-19,407,1,221.41,Ocasional,Italia,Tienda física
81,2023-05-24,408,9,1853.7,Ocasional,Italia,Online
81,2024-01-02,409,9,2985.44,Ocasional,Italia,Online
82,2024-01-31,410,4,1185.99,Ocasional,España,Tienda física
83,2023-05-24,411,4,2025.56,Medio,Francia,Online
83,2023-05-31,412,1,520.64,Medio,Francia,Tienda física
83,2024-04-13,413,9,5478.41,Medio,Francia,Tienda física
